experiment_begin_timestamp,experiment_sec,experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,humidity_2,thermocouple_1,thermocouple_2,target_temperature,heating_proportional_Cf,cooling_proportional_Cf,target_humidity_high,target_humidity_low,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,fan_on,humidifyer_on,heater_on
-1000,0,1728533145.8343992,20,1728534465.8411486,38.0,0.41869999999999996,38.29,0.3876,40.222,39.817,40.33,5.0,1.0,0.45,0.4,2,1728534483.3383534,0,0,0,0.5399999999999849
-1000,0,1728533145.8343992,20,1728534486.5901163,38.01,0.4181,38.29,0.3876,40.254,39.728,40.33,5.0,1.0,0.45,0.4,2,1728534506.0392675,0,0,0,0.38000000000000256
-1000,0,1728533145.8343992,20,1728534509.2912512,37.98,0.4178,38.3,0.3872,40.059,39.705,40.33,5.0,1.0,0.45,0.4,2,1728534528.7506108,0,0,0,1
-1000,0,1728533145.8343992,20,1728534532.0015352,38.0,0.4173,38.31,0.38689999999999997,40.238,39.792,40.33,5.0,1.0,0.45,0.4,2,1728534551.4568465,0,0,0,0.45999999999999375
-1000,0,1728533145.8343992,20,1728534554.7047102,38.03,0.4171,38.32,0.38680000000000003,40.268,39.734,40.33,5.0,1.0,0.45,0.4,2,1728534574.1637337,0,0,0,0.30999999999998806
-1000,0,1728533145.8343992,20,1728534577.412712,38.03,0.4167,38.31,0.3866,40.247,39.734,40.33,5.0,1.0,0.45,0.4,2,1728534596.8888328,0,0,0,0.41499999999999204
-1000,0,1728533145.8343992,20,1728534600.1526453,38.05,0.41659999999999997,38.32,0.3864,40.161,39.783,40.33,5.0,1.0,0.45,0.4,2,1728534619.6058028,0,0,0,0.8449999999999847
-1000,0,1728533145.8343992,20,1728534622.855517,38.05,0.41630000000000006,38.33,0.38630000000000003,40.346,39.873,40.33,5.0,1.0,0.45,0.4,2,1728534642.8277836,0,0.0,False,0
-1000,0,1728533145.8343992,20,1728534642.8911583,38.06,0.4161,38.33,0.3859,40.244,39.819,40.33,5.0,1.0,0.45,0.4,2,1728534662.4957762,0,0,0,0.4299999999999926
-1000,0,1728533145.8343992,20,1728534665.744532,38.08,0.4156,38.33,0.3857,40.223,39.786,40.33,5.0,1.0,0.45,0.4,2,1728534685.2680645,0,0,0,0.5349999999999966
-1000,0,1728533145.8343992,20,1728534688.518037,38.11,0.4153,38.32,0.38549999999999995,40.22,39.746,40.33,5.0,1.0,0.45,0.4,2,1728534707.9703376,0,0,0,0.5499999999999972
-1000,0,1728533145.8343992,20,1728534711.220646,38.11,0.4152,38.32,0.38549999999999995,40.168,39.823,40.33,5.0,1.0,0.45,0.4,2,1728534730.6805832,0,0,0,0.8099999999999952
-1000,0,1728533145.8343992,20,1728534733.927877,38.14,0.41490000000000005,38.35,0.385,40.221,39.783,40.33,5.0,1.0,0.45,0.4,2,1728534753.3837867,0,0,0,0.5450000000000088
-1000,0,1728533145.8343992,20,1728534756.632616,38.16,0.4146,38.33,0.3849,40.138,39.774,40.33,5.0,1.0,0.45,0.4,2,1728534776.090238,0,0,0,0.9600000000000009
-1000,0,1728533145.8343992,20,1728534779.3330715,38.11,0.4143,38.35,0.38450000000000006,40.214,39.698,40.33,5.0,1.0,0.45,0.4,2,1728534798.9611938,0,0,0,0.5799999999999983
-1000,0,1728533145.8343992,20,1728534802.21214,38.14,0.41409999999999997,38.34,0.38439999999999996,40.248,39.768,40.33,5.0,1.0,0.45,0.4,2,1728534821.6728137,0,0,0,0.4100000000000037
-1000,0,1728533145.8343992,20,1728534824.9199555,38.16,0.414,38.36,0.38450000000000006,40.204,39.689,40.33,5.0,1.0,0.45,0.4,2,1728534844.4288108,0,0,0,0.6299999999999883
-1000,0,1728533145.8343992,20,1728534847.6793966,38.17,0.41369999999999996,38.36,0.38439999999999996,40.228,39.754,40.33,5.0,1.0,0.45,0.4,2,1728534867.140254,0,0,0,0.5099999999999838
-1000,0,1728533145.8343992,20,1728534870.3947802,38.14,0.4133,38.37,0.3839,40.237,39.704,40.33,5.0,1.0,0.45,0.4,2,1728534890.1622531,0,0,0,0.4649999999999821
-1000,0,1728533145.8343992,20,1728534893.4158185,38.2,0.4132,38.37,0.3841,40.252,39.689,40.33,5.0,1.0,0.45,0.4,2,1728534912.88295,0,0,0,0.38999999999997925
-1000,0,1728533145.8343992,20,1728534916.1295352,38.22,0.4129,38.37,0.3836,40.231,39.806,40.33,5.0,1.0,0.45,0.4,2,1728534935.5887089,0,0,0,0.49499999999998323
-1000,0,1728533145.8343992,20,1728534938.8410122,38.18,0.41270000000000007,38.39,0.3833,40.31,39.885,40.33,5.0,1.0,0.45,0.4,2,1728534958.2894037,0,0,0,0.0999999999999801
-1000,0,1728533145.8343992,20,1728534961.5410895,38.16,0.41240000000000004,38.4,0.3833,40.27,39.859,40.33,5.0,1.0,0.45,0.4,2,1728534980.9995723,0,0,0,0.29999999999997584
-1000,0,1728533145.8343992,20,1728534984.248382,38.24,0.4123,38.37,0.3834,40.23,39.812,40.33,5.0,1.0,0.45,0.4,2,1728535003.71481,0,0,0,0.5000000000000071
-1000,0,1728533145.8343992,20,1728535006.9615593,38.21,0.4122,38.37,0.3833,40.171,39.732,40.33,5.0,1.0,0.45,0.4,2,1728535026.4208877,0,0,0,0.7949999999999946
-1000,0,1728533145.8343992,20,1728535029.6711195,38.21,0.4117,38.39,0.383,40.288,39.756,40.33,5.0,1.0,0.45,0.4,2,1728535049.1365707,0,0,0,0.21000000000000796
-1000,0,1728533145.8343992,20,1728535052.3904831,38.22,0.41159999999999997,38.41,0.3825,40.252,39.742,40.33,5.0,1.0,0.45,0.4,2,1728535071.8448997,0,0,0,0.38999999999997925
-1000,0,1728533145.8343992,20,1728535075.0933626,38.27,0.4114,38.39,0.3822,40.213,39.815,40.33,5.0,1.0,0.45,0.4,2,1728535094.544117,0,0,0,0.5849999999999866
-1000,0,1728533145.8343992,20,1728535097.793131,38.23,0.4112,38.37,0.3826,40.213,39.783,40.33,5.0,1.0,0.45,0.4,2,1728535117.2420273,0,0,0,0.5849999999999866
-1000,0,1728533145.8343992,20,1728535120.4919317,38.26,0.4107,38.4,0.3821,40.324,39.768,40.33,5.0,1.0,0.45,0.4,2,1728535139.9475927,0,0,0,0.030000000000001137
-1000,0,1728533145.8343992,20,1728535143.1983378,38.22,0.4105,38.42,0.3821,40.228,39.731,40.33,5.0,1.0,0.45,0.4,2,1728535162.6565015,0,0,0,0.5099999999999838
